Category,Sub-Category,Model_Code,Item_Description,UOM,Unit_Rate_OMR,Image_URL
General Requirements,Site Setup,MOB-01,Site mobilization including temporary office setup and storage facilities.,LS,2500,https://images.unsplash.com/photo-1504307651254-35680f356dfd?auto=format&fit=crop&q=80&w=400
General Requirements,Health & Safety,HSE-01,Health and safety requirements including PPE and on-site safety signage.,LS,1200,https://images.unsplash.com/photo-1581092918056-0c4c3acd3789?auto=format&fit=crop&q=80&w=400
General Requirements,Final Works,CLN-01,Professional deep cleaning and handover preparation.,LS,1500,https://images.unsplash.com/photo-1581578731522-745d05ad9a2d?auto=format&fit=crop&q=80&w=400
Flooring & Wet Works,Stone Flooring,MA-201,"Mechanically fixed marble, 20mm thick stone as per approved sample.",m2,26,https://images.unsplash.com/photo-1600585152220-90363fe7e115?auto=format&fit=crop&q=80&w=400
Flooring & Wet Works,Stone Flooring,MA-101,Cool white marble 1200x600x20mm thick stone as per approved sample including cement sand screed.,m2,42,https://images.unsplash.com/photo-1516541196182-6bdb0516ed27?auto=format&fit=crop&q=80&w=400
Flooring & Wet Works,Carpet Tiles,CA-101,9mm Thick custom design carpet tile.,m2,19,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?auto=format&fit=crop&q=80&w=400
Flooring & Wet Works,Preparation,SL-001,Supply and fix of self leveling below carpet and any other requirement needed to final fix of carpet.,LS,10500,https://images.unsplash.com/photo-1517646287270-a5a9ca602e5c?auto=format&fit=crop&q=80&w=400
Partitions & Wall Cladding,Glass Partitions,GL-101,12 mm thick toughened clear glass with vinyl sticker signage.,m2,55,https://images.unsplash.com/photo-1509660155171-0d0066603c3b?auto=format&fit=crop&q=80&w=400
Partitions & Wall Cladding,Wood Cladding,WD-101,Natural wood veneer cladded MDF panel.,m2,65,https://images.unsplash.com/photo-1533090161767-e6ffed986c88?auto=format&fit=crop&q=80&w=400
Partitions & Wall Cladding,Wood Cladding,WD-102,Prefabricated wooded fluted panel.,m2,85,https://images.unsplash.com/photo-1505330622279-bf7d7fc918f4?auto=format&fit=crop&q=80&w=400
Partitions & Wall Cladding,Metal Cladding,MT-101,Black color PVD coated stainless steel trim or accents.,m,20,https://images.unsplash.com/photo-1558591710-4b4a1ae0f04d?auto=format&fit=crop&q=80&w=400
Partitions & Wall Cladding,Acoustic Partitions,AP-104,Prefabricated acoustic panel fully enclosed with excellent quality fabrics.,m2,75,https://images.unsplash.com/photo-1519710164239-da123dc03ef4?auto=format&fit=crop&q=80&w=400
Ceiling Works,Acoustic Ceiling,AP-101,"Prefabricated acoustic panel with custom design, fully enclosed with fabrics.",m2,90,https://images.unsplash.com/photo-1522441815192-d9f04eb0615c?auto=format&fit=crop&q=80&w=400
Ceiling Works,Wood Ceilings,WS-101,White oak veneered Wood Slats suspended from ceiling.,m2,35,https://images.fitoutapp.com/ceiling/wood-slats.jpg
Doors & Windows,Window Treatments,CUR-2600,Horizontal window curtain for window size 2600x2800 mm.,No.,85,https://images.unsplash.com/photo-1513519245088-0e12902e5a38?auto=format&fit=crop&q=80&w=400
Finishes (Painting & Decoration),Painting,PT-202,Textured paint matt finish brushed suede effect Low VOC emulation paint.,m2,8,https://images.unsplash.com/photo-1562648305-e82f528ebd0d?auto=format&fit=crop&q=80&w=400
Finishes (Painting & Decoration),Skirting,SK-101,"18 thickness, 100 mm high solid wood skirting HDPE wood skirting.",m,12,https://images.unsplash.com/photo-1581850518616-bcb8186c3c3e?auto=format&fit=crop&q=80&w=400
Finishes (Painting & Decoration),Mirrors,MR-101,"Silver mirror 6mm thick with vanity lighting, size 400x1200 mm.",No.,75,https://images.unsplash.com/photo-1595428774223-ef52624120d2?auto=format&fit=crop&q=80&w=400
Pantry & Cabinetry,Custom Cabinets,LA-201-B,Laminate matte brushed finish base cabinet with korean countertop.,m,140,https://images.unsplash.com/photo-1556911220-e15224bbaf47?auto=format&fit=crop&q=80&w=400
Pantry & Cabinetry,Specialized Units,WB-101,Integrated whiteboard unit with artificial plant accents.,m2,70,https://images.unsplash.com/photo-1531403074768-6c03e819c17f?auto=format&fit=crop&q=80&w=400
Electrical & Mechanical (MEP),Lighting,BRS-LOGO,Metal logo with back-lighting (Brushed brass finish).,No.,450,https://images.unsplash.com/photo-1563986768609-322da13575f3?auto=format&fit=crop&q=80&w=400
Electrical & Mechanical (MEP),Plumbing,ABL-BST,"Ablution base with TL-101 finish, size 500x500x500 mm.",No.,110,https://images.unsplash.com/photo-1584622781564-1d9876a1df2d?auto=format&fit=crop&q=80&w=400
